Date,Type of Events,Number of Events
2019-11-01,cart,18911
2019-11-01,purchase,22458
2019-11-01,view,1403991
2019-11-02,cart,19350
2019-11-02,purchase,21864
2019-11-02,view,1514324
2019-11-03,cart,20211
2019-11-03,purchase,22145
2019-11-03,view,1525418
2019-11-04,cart,21960
2019-11-04,purchase,26889
2019-11-04,view,1744279
2019-11-05,cart,19231
2019-11-05,purchase,24875
2019-11-05,view,1673138
2019-11-06,cart,19670
2019-11-06,purchase,25319
2019-11-06,view,1649832
2019-11-07,cart,19446
2019-11-07,purchase,24863
2019-11-07,view,1752524
2019-11-08,cart,77369
2019-11-08,purchase,25714
2019-11-08,view,1793319
2019-11-09,cart,70132
2019-11-09,purchase,22768
2019-11-09,view,1785006
2019-11-10,cart,71590
2019-11-10,purchase,22878
2019-11-10,view,1846107
2019-11-11,cart,75164
2019-11-11,purchase,24931
2019-11-11,view,1909295
2019-11-12,cart,69711
2019-11-12,purchase,22725
2019-11-12,view,1895133
2019-11-13,cart,71650
2019-11-13,purchase,22548
2019-11-13,view,1924967
2019-11-14,cart,170472
2019-11-14,purchase,22124
2019-11-14,view,2877130
2019-11-15,cart,483305
2019-11-15,view,5737111
2019-11-16,cart,406778
2019-11-16,purchase,68247
2019-11-16,view,6027932
2019-11-17,cart,426941
2019-11-17,purchase,185195
2019-11-17,view,5783241
2019-11-18,cart,83197
2019-11-18,purchase,28537
2019-11-18,view,1909778
2019-11-19,cart,72545
2019-11-19,purchase,24967
2019-11-19,view,1631029
2019-11-20,cart,72404
2019-11-20,purchase,24947
2019-11-20,view,1602735
2019-11-21,cart,75581
2019-11-21,purchase,25266
2019-11-21,view,1576489
2019-11-22,cart,70216
2019-11-22,purchase,24187
2019-11-22,view,1473840
2019-11-23,cart,64816
2019-11-23,purchase,22243
2019-11-23,view,1474657
2019-11-24,cart,68109
2019-11-24,purchase,23163
2019-11-24,view,1500493
2019-11-25,cart,71433
2019-11-25,purchase,24827
2019-11-25,view,1497322
2019-11-26,cart,71645
2019-11-26,purchase,24226
2019-11-26,view,1559008
2019-11-27,cart,71397
2019-11-27,purchase,24443
2019-11-27,view,1550616
2019-11-28,cart,71541
2019-11-28,purchase,24305
2019-11-28,view,1562532
2019-11-29,cart,92394
2019-11-29,purchase,32107
2019-11-29,view,1729925
2019-11-30,cart,81761
2019-11-30,purchase,28178
2019-11-30,view,1644939
